id,answer
2615,1
2616,5
2617,3
2618,1
2619,1
2620,4
2621,4
2622,2
2623,4
2624,1
2625,1
2626,2
2627,3
2628,5
2629,2
2630,3
2631,1
2632,2
2633,4
2634,5
2635,4
2636,4
2637,5
2638,5
2639,2
2640,1
2641,3
2642,3
2643,5
2644,3
2645,4
2646,5
2647,3
2648,4
2649,1
2650,4
2651,2
2652,3
2653,2
2654,2
2655,3
2656,2
2657,2
2658,4
2659,2
2660,1
2661,1
2662,3
2663,2
2664,1
2665,5
2666,3
2667,2
2668,5
2669,2
2670,1
2671,4
2672,4
2673,5
2674,1
2675,4
2676,3
2677,2
2678,4
2679,3
2680,2
2681,2
2682,4
2683,5
2684,5
2685,4
2686,4
2687,1
2688,3
2689,4
2690,2
2691,4
2692,5
2693,5
2694,4
2695,5
2696,4
2697,1
2698,1
2699,3
2700,2
2701,4
2702,2
2703,1
2704,1
2705,2
2706,4
2707,4
2708,3
2709,4
2710,1
2711,2
2712,1
2713,2
2714,3
2715,4
2716,5
2717,1
2718,2
2719,3
2720,5
2721,1
2722,2
2723,2
2724,5
2725,3
2726,5
2727,5
2728,1
2729,2
2730,1
2731,4
2732,2
2733,3
2734,2
2735,1
2736,3
2737,4
2738,3
2739,2
2740,4
2741,1
2742,5
2743,4
2744,5
2745,5
2746,4
2747,1
2748,1
2749,4
2750,4
2751,2
2752,3
2753,4
2754,3
2755,2
2756,4
2757,3
2758,5
2759,1
2760,4
2761,5
2762,3
2763,2
2764,2
2765,2
2766,5
2767,3
2768,3
2769,4
2770,5
2771,1
2772,1
2773,5
2774,2
2775,2
2776,5
2777,1
2778,4
2779,2
2780,4
2781,1
2782,4
2783,4
2784,2
2785,2
2786,3
2787,3
2788,5
2789,2
2790,5
2791,2
2792,3
2793,2
2794,1
2795,4
2796,3
2797,1
2798,5
2799,4
2800,1
2801,3
2802,1
2803,1
2804,2
2805,1
2806,4
2807,1
2808,1
2809,1
2810,2
2811,1
2812,5
2813,3
2814,2
2815,2
2816,3
2817,5
2818,4
2819,2
2820,4
2821,3
2822,1
2823,5
2824,5
2825,2
2826,2
2827,1
2828,1
2829,5
2830,4
2831,3
2832,1
2833,1
2834,5
2835,2
2836,3
2837,2
2838,5
2839,1
2840,2
2841,2
2842,4
2843,5
2844,5
2845,5
2846,2
2847,1
2848,4
2849,5
2850,5
2851,2
2852,3
2853,4
2854,2
2855,2
2856,2
2857,5
2858,5
2859,3
2860,2
2861,5
2862,4
2863,4
2864,1
2865,4
2866,3
2867,2
2868,5
2869,1
2870,5
2871,2
2872,3
2873,5
2874,5
2875,5
2876,2
2877,4
2878,5
2879,1
2880,2
2881,5
2882,2
2883,1
2884,2
2885,1
2886,1
2887,2
2888,5
2889,1
2890,1
2891,3
2892,2
2893,5
2894,4
2895,2
2896,2
2897,2
2898,1
2899,5
2900,2
2901,5
2902,1
2903,1
2904,4
2905,3
2906,3
2907,1
2908,2
2909,4
2910,1
2911,1
2912,1
2913,3
2914,4
2915,2
2916,5
2917,3
2918,4
2919,2
2920,2
2921,2
2922,3
2923,1
2924,1
2925,3
2926,2
2927,4
2928,4
2929,5
2930,4
2931,5
2932,2
2933,5
2934,1
2935,1
2936,5
2937,4
2938,4
2939,1
2940,3
2941,4
2942,2
2943,2
2944,1
2945,5
2946,1
2947,3
2948,3
2949,2
2950,1
2951,5
2952,1
2953,1
2954,3
2955,1
2956,3
2957,5
2958,2
2959,2
2960,3
2961,4
2962,4
2963,2
2964,3
2965,3
2966,1
2967,5
2968,4
2969,5
2970,4
2971,2
2972,2
2973,1
2974,1
2975,4
2976,2
2977,5
2978,4
2979,5
2980,5
2981,1
2982,2
2983,2
2984,4
2985,3
2986,3
2987,2
2988,2
2989,5
2990,1
2991,4
2992,1
2993,1
2994,3
2995,4
2996,3
2997,4
2998,2
2999,2
3000,2
3001,5
3002,4
3003,5
3004,4
3005,5
3006,5
3007,4
3008,2
3009,4
3010,3
3011,4
3012,4
3013,3
3014,3
3015,5
3016,3
3017,3
3018,5
3019,3
3020,3
3021,2
3022,1
3023,5
3024,5
3025,1
3026,1
3027,2
3028,2
3029,1
3030,2
3031,4
3032,3
3033,2
3034,5
3035,2
3036,1
3037,2
3038,1
3039,2
3040,5
3041,4
3042,2
3043,5
3044,4
3045,5
3046,3
3047,3
3048,4
3049,4
3050,4
3051,1
3052,4
3053,3
3054,3
3055,5
3056,1
3057,5
3058,5
3059,5
3060,1
3061,5
3062,3
3063,4
3064,5
3065,3
3066,2
3067,4
3068,2
3069,5
3070,5
3071,5
3072,5
3073,5
3074,3
3075,1
3076,1
3077,4
3078,5
3079,2
3080,1
3081,2
3082,1
3083,2
3084,1
3085,3
3086,5
3087,3
3088,1
3089,3
3090,4
3091,2
3092,5
3093,5
3094,2
3095,5
3096,5
3097,1
3098,4
3099,3
3100,3
3101,1
3102,5
3103,4
3104,2
3105,5
3106,4
3107,1
3108,1
3109,1
3110,2
3111,2
3112,2
3113,2
3114,5
3115,2
3116,3
3117,4
3118,1
3119,2
3120,4
3121,4
3122,5
3123,1
3124,4
3125,5
3126,2
3127,3
3128,4
3129,4
3130,4
3131,1
3132,4
3133,4
3134,4
3135,3
3136,1
3137,1
3138,3
3139,3
3140,5
3141,1
3142,3
3143,3
3144,3
3145,5
3146,5
3147,3
3148,2
3149,4
3150,5
3151,3
3152,5
3153,4
3154,5
3155,3
3156,5
3157,3
3158,4
3159,5
3160,1
3161,2
3162,3
3163,3
3164,3
3165,4
3166,1
3167,5
3168,3
3169,3
3170,4
3171,2
3172,1
3173,3
3174,2
3175,5
3176,5
3177,1
3178,3
3179,5
3180,2
3181,5
3182,1
3183,2
3184,5
3185,1
3186,3
3187,3
3188,1
3189,1
3190,1
3191,4
3192,3
3193,3
3194,4
3195,2
3196,5
3197,4
3198,2
3199,5
3200,1
3201,1
3202,4
3203,3
3204,5
3205,4
3206,2
3207,4
3208,5
3209,1
3210,3
3211,3
3212,1
3213,1
3214,5
3215,3
3216,3
3217,3
3218,2
3219,2
3220,1
3221,2
3222,3
3223,1
3224,4
3225,5
3226,1
3227,5
3228,2
3229,3
3230,2
3231,5
3232,5
3233,5
3234,5
3235,3
3236,3
3237,3
3238,1
3239,1
3240,4
3241,1
3242,3
3243,5
3244,3
3245,5
3246,2
3247,4
3248,5
3249,2
3250,2
3251,5
3252,2
3253,2
3254,3
3255,3
3256,1
3257,5
3258,1
3259,2
3260,3
3261,5
3262,4
3263,5
